id,name,short_url
0,Alfa Romeo,alfa-romeo
1,Aston Martin,aston-martin
2,Audi,audi
3,Bentley,bentley
4,BMW,bmw
5,Cadillac,cadillac
6,Chery,chery
7,Chevrolet,chevrolet
8,Chrysler,chrysler
9,Citroen,citroen
10,Dacia,dacia
11,Daewoo,daewoo
12,Daihatsu,daihatsu
13,DFM,dfm
14,Dodge,dodge
15,Ferrari,ferrari
16,Fiat,fiat
17,Ford,ford
18,Geely,geely
19,Honda,honda
20,Hyundai,hyundai
21,Infiniti,infiniti
22,Isuzu,isuzu
23,Jaguar,jaguar
24,Jeep,jeep
25,Kia,kia
26,Lada,lada
27,Lamborghini,lamborghini
28,Lancia,lancia
29,Land Rover,land-rover
30,Maserati,maserati
31,Mazda,mazda
32,Mercedes,mercedes
33,Mini,mini
34,Mitsubishi,mitsubishi
35,Nissan,nissan
36,Opel,opel
37,Peugeot,peugeot
38,Porsche,porsche
39,Proton,proton
40,Renault,renault
41,Rover,rover
42,Saab,saab
43,Seat,seat
44,Skoda,skoda
45,Smart,smart
46,SsangYong,ssangyong
47,Subaru,subaru
48,Suzuki,suzuki
49,Tata,tata
50,Tofaş,tofas
51,Toyota,toyota
52,Volkswagen,volkswagen
53,Volvo,volvo
